density,conductivity,E1,E2,E3,E4,P1,P2,P3,P4,P5,L04,L10,L11,L12,L13,L14,L11Mytest,P7,P8,A02,A03,A05,A06,A07,M01,M5,M18,M26,M72,L06,L07,T15My,C15,C16,C52,R01,R04,A,F2,TF,DVB,T16,T16B,T25
1.207,8.4,30.03,0,24.98,25.08,0,0,0,4.2,10.99,0,0,0,0,0,0,0,2,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.05,0.1
1.21,7.84,15.66,0,31.32,0,0,0,0,15.66,12.5,0,0.2,0,0,0,0,0,0,3,3,0,0,0,0,0,15.66,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.393,8.3,77.5,0,0,10,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.206,7.4,24.29,0,28.49,16.99,0,0,0,1.4,13,0,0,0,0,0,0,4,1,2,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.03,0,0,0
1.224,8.7,27.98,0,13.69,39.97,0,0,0,0,13.99,0,0,0,0,0,0,0,1.8,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.192,8.7,14.15,0,15.68,0,0,0,21.22,14.14,14.37,0,0,0,0,0,0,0,0.4,4,7,0,0.5,0,0,0,0,0,0,0,1,0,4,3.54,0,0,0,0,0,0,0,0,0,0,0
1.154,7.6,13.42,0,0,0,33.56,0,10.07,10.07,14.38,0.5,0,0,0,0,0,0,0,3,8,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1.184,10.1,14.29,0,10.72,0,0,14.29,14.29,14.29,14.38,0,0,0.27,0,0.5,0,0,0.4,4,6,0,0,0,0,0,0,0,0,0,3,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0
1.263,11,13.3,49.18,0,10,0,0,0,0,15,0,0,0,0,0,0,4,0,0,8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.232,7.9,25.99,0,15.69,37.99,0,0,0,0,15,0,0,0,0.8,0,0.5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
