density,conductivity,E1,E2,E3,E4,P1,P2,P3,P4,P5,L04,L10,L11,L12,L13,L14,L11Mytest,P7,P8,A02,A03,A05,A06,A07,M01,M5,M18,M26,M72,L06,L07,T15My,C15,C16,C52,R01,R04,A,F2,TF,DVB,T16,T16B,T25
"1.256
","6.8
",14.78,0,11.09,36.95,0,0,0,0,0,0,0,0,23.6,0,0,0,2.5,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.217,9.4,16.43,0,12.32,41.06,0,0,0,0,0,0,0,0,0,15.37,0,0,2.5,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.158,11.5,19.99,23.99,0,0,0,0,35.58,0,2.5,0,0,0,0,12.39,0,0,0.5,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1.149,5.8,28.87,38.5,0,28.87,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.169,8.1,28.12,37.5,0,28.12,0,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.187,9.6,27.37,36.5,0,27.37,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.203,7.9,34.79,0,34.79,11.8,0,0,0,5.6,9,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.217,7.9,24.99,0,38.99,10.3,0,0,0,4.2,9,0,0,0,0.5,6,0,0,2,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.03,0,0,0
1.206,10.5,26.62,35.5,0,26.62,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16,9.6,17.99,0,0,42.27,0,0,16.29,8.59,11.8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.132,11.4,15,0,0,34.29,0,29.99,0,4.7,11.8,0,0.2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.254,7,42.97,0,34.18,0,0,0,0,0,12.29,0,0,0,0,0,0,0,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.07,0,0,0
1.15,6.7,17.09,0,42.74,25.64,0,0,0,0,12.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.215,8.5,25.35,0,15.9,40.25,0,0,0,0,12.5,0,0,0,0,2,0,0,1,2,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.209,8.1,29.99,0,29.99,22.49,0,0,0,0,12.5,0,0,0,0,0,0,0.5,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.274,8,47.5,0,40,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.246,9.6,47.5,0,0,40,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.311,8.2,57.5,0,30,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29,9.3,57.5,0,0,30,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.349,8.2,67.5,0,20,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.334,8.8,67.5,0,0,20,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38,8,77.5,0,10,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.433,7.7,87.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.193,8.3,24.99,0,16.66,41.65,0,0,0,0,12.5,0.3,0,0,0,0.2,0,0,0.2,1,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.215,8.9,17,0,12.75,42.5,0,0,0,0,12.5,0,0,0,0,0,0,0,2.5,0,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,8.1,25,0,16.7,41.81,0,0,0,0,12.5,0.3,0,0,0,0.2,0,0,0.2,1,0,0.3,1.49,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
