density,conductivity,solvent1,solvent2,solvent3,solvent4,solvent5,solvent6,solvent7,solvent8,additive1,additive2,additive3,additive4,additive5,additive6,additive7,additive8,additive9,additive10,additive11,additive12,additive13,additive14,additive15,additive16,additive17,additive18,additive19,additive20,additive21,additive22,additive23,additive24,additive25,additive26,additive27,LiPF6,additive28,additive29,additive30,additive31,additive32,additive33,additive34,additive35,additive36
"1.216
","7.82
","30
",0,0,53.9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0
1.232,8.42,25.028,0,0,55.707,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,0,0,15.625,0,0,1.6,0,0,0,0.52,0,0
1.2368,8.36,25.717,0,0,54.648,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.32,0,0,15.875,0,0,1.6,0,0,0,0.53,0,0
1.2344,8.39,25.835,0,0,54.9,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,0,0,15.625,0,0,1.6,0,0,0,0.52,0,0
1.2443,8.14,26.342,0,0,53.483,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.33,0,0,16.375,0,0,1.6,0,0,0,0.55,0,0
1.2564,8,27.627,0,0,51.308,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.34,0,0,17.125,0,0,1.7,0,0,0,0.57,0,0
1.21,10.76,21.18,33.9,0,25.43,0,0,0,4.24,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0
1.2268,9.61,24.75,17.5,0,38,0,0,0,4,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,13,0,0,1.25,0,0,0,0,0,0
1.2086,8.09,24.36,0,16.24,40.6,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,14.5,0.5,0,0,0,0,0,0.8,0,0
1.2085,8.18,24.45,0,16.3,40.75,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,14.5,0.5,0,0,0,0,0,0.5,0,0
1.2079,8.04,24.3,0,16.2,40.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,14.5,0.5,0,0,0,0,0,1,0,0
1.2109,8.19,24.48,0,16.32,40.8,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.5,0,0,0,14.5,0.5,0,0,0,0,0,0,0,0
1.2098,8.09,24.24,0,16.16,40.4,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.5,0,0,0,14.5,0.5,0,0,0,0,0,0,0,0
1.1502,7.97,17,0,20.1,0,20,10.5,0,7,0,0,3,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.4,0,0,0,0,0,0,0,0
